@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

R_data_frame,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995034,0.013457,0.058399,4.49411,15.088199,578.858862,18.019651,560.839211,2.151892,0.066988,2.084904,563.530961,2.094911,97.352049,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.002235,0.997765,0.003717,0.996319,0.996283,0.996278,0.994554,0.999185,0.998325,0.997533,0.996283,0.283,0.002,0.28125,0,281.25,0,909222,207196,24276,99.628253,23.643123,?,-1,?,?,?
R_data_frame,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990041,0.012833,0.054998,4.29047,14.228075,577.176814,15.274503,561.902311,2.145639,0.056783,2.088856,561.902311,2.088856,97.353583,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.001795,0.998205,0.007435,0.992725,0.992565,0.992482,0.991208,0.999827,0.998871,0.988975,0.992565,0.285,0.004,0.28125,0.015625,281.25,15.625,917699,207196,24276,100,23.345725,?,-1,?,?,?
R_data_frame,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.01377,0.049179,4.60368,12.722614,577.176814,14.879067,562.297747,2.145639,0.055313,2.090326,562.297747,2.090326,97.422095,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.282,0.004,0.28125,0.015625,281.25,15.625,920537,207196,24276,100,24.089219,?,-1,?,?,?
R_data_frame,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995021,0.013651,0.054476,4.563907,14.092789,577.176814,15.457554,561.71926,2.145639,0.057463,2.088176,561.71926,2.088176,97.321868,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001258,0.998742,0.003717,0.996336,0.996283,0.996266,0.995425,0.999935,0.999618,0.995261,0.996283,0.281,0.005,0.265625,0.015625,265.625,15.625,908077,207196,24276,100,23.643123,?,-1,?,?,?
R_data_frame,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995024,0.013665,0.053986,4.568879,13.966171,577.176814,15.224839,561.951975,2.145639,0.056598,2.089041,561.951975,2.089041,97.362188,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.000538,0.999462,0.003717,0.996389,0.996283,0.996279,0.995805,0.999984,0.999884,0.993823,0.996283,0.275,0.003,0.28125,0,281.25,0,902812,207196,24276,100,23.643123,?,-1,?,?,?
R_data_frame,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995037,0.014037,0.048529,4.687779,12.538286,578.858862,15.239179,563.619683,2.151892,0.056651,2.09524,563.619683,2.09524,97.367376,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.000538,0.999462,0.003717,0.996389,0.996283,0.99628,0.995796,1,1,0.993927,0.996283,0.278,0.004,0.28125,0,281.25,0,921781,207196,24276,100,24.089219,?,-1,?,?,?
R_data_frame,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,266,3,0,98.884758,1.115242,0,0.9851,0.0189,0.074538,6.311617,19.258156,578.858862,23.900295,554.958567,2.151892,0.088849,2.063043,555.452877,2.064881,95.95653,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.988848,0.002333,0.997667,0.011152,0.989315,0.988848,0.988693,0.987028,0.999796,0.998674,0.98299,0.988848,0.281,0.004,0.28125,0,281.25,0,904770,207196,24276,100,24.907063,?,-1,?,?,?
R_data_frame,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.99504,0.015643,0.054066,5.221218,13.960118,579.847994,17.302096,562.545897,2.155569,0.06432,2.091249,562.545897,2.091249,97.016098,1,35,0,0,1,234,0,0,1,1,1,1,1,1,0.996283,0.001233,0.998767,0.003717,0.996337,0.996283,0.996269,0.995412,0.999992,0.999894,0.995533,0.996283,0.273,0.003,0.265625,0,265.625,0,916359,207196,24276,100,24.609665,?,-1,?,?,?
R_data_frame,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995027,0.013606,0.056328,4.546309,14.562222,578.270355,17.617719,560.652636,2.149704,0.065493,2.084211,562.945872,2.092736,97.349945,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.002271,0.997729,0.003717,0.996319,0.996283,0.996278,0.994548,0.999509,0.998841,0.997521,0.996283,0.271,0.003,0.265625,0,265.625,0,918384,207196,24276,99.628253,23.717472,?,-1,?,?,?
R_data_frame,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990067,0.012922,0.05269,4.317752,13.621757,578.270355,14.516421,563.753934,2.149704,0.053964,2.09574,563.78253,2.095846,97.494628,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.001771,0.998229,0.007435,0.992726,0.992565,0.992567,0.990357,1,1,0.99146,0.992565,0.276,0.004,0.265625,0,265.625,0,911836,207196,24276,100,23.345725,?,-1,?,?,?
R_data_frame,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995027,0.011108,0.045204,3.711577,11.68654,578.270355,12.123309,566.147046,2.149704,0.045068,2.104636,566.147046,2.104636,97.903522,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001233,0.998767,0.003717,0.996337,0.996283,0.996267,0.995429,1,1,0.995344,0.996283,0.273,0.004,0.28125,0,281.25,0,923739,207196,24276,100,23.122677,?,-1,?,?,?
R_data_frame,3,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.012981,0.043578,4.340186,11.273578,577.176814,13.698971,563.477843,2.145639,0.050926,2.094713,563.477843,2.094713,97.626556,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.271,0.003,0.265625,0,265.625,0,909165,207196,24276,100,23.866171,?,-1,?,?,?
R_data_frame,3,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995021,0.011717,0.047272,3.917602,12.229253,577.176814,12.921907,564.254907,2.145639,0.048037,2.097602,564.254907,2.097602,97.761187,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001258,0.998742,0.003717,0.996336,0.996283,0.996266,0.995425,1,1,0.995261,0.996283,0.267,0.004,0.265625,0,265.625,0,917563,207196,24276,100,22.973978,?,-1,?,?,?
R_data_frame,3,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.012565,0.045342,4.200982,11.729989,577.176814,13.488501,563.688313,2.145639,0.050143,2.095496,563.688313,2.095496,97.663021,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.264,0.004,0.265625,0,265.625,0,912296,207196,24276,100,23.791822,?,-1,?,?,?
